[1][CALL] from=0x57c112, to=0x450595, 0x320bd352() -> None
  [2][CALL] from=0x450595, to=VTF, updateUserBalance(_user(address): 0x450595) -> None
  [2][CREATE] from=0x450595, to=0x1dd557, atInversebrahint248() -> 0x608060
  [2][CALL] from=0x450595, to=VTF, updateUserBalance(_user(address): 0x1dD557) -> None
  [2][CREATE] from=0x450595, to=0x26af2a, atInversebrahint248() -> 0x608060
  [2][CALL] from=0x450595, to=VTF, updateUserBalance(_user(address): 0x26aF2A) -> None
  [2][CREATE] from=0x450595, to=0xa0a6e0, atInversebrahint248() -> 0x608060
  [2][CALL] from=0x450595, to=VTF, updateUserBalance(_user(address): 0xa0A6e0) -> None
  [2][CREATE] from=0x450595, to=0xd86b97, atInversebrahint248() -> 0x608060
  [2][CALL] from=0x450595, to=VTF, updateUserBalance(_user(address): 0xD86b97) -> None
  [2][CREATE] from=0x450595, to=0xf1a2f4, atInversebrahint248() -> 0x608060
  [2][CALL] from=0x450595, to=VTF, updateUserBalance(_user(address): 0xf1A2F4) -> None
  [2][CREATE] from=0x450595, to=0x5acace, atInversebrahint248() -> 0x608060
  [2][CALL] from=0x450595, to=VTF, updateUserBalance(_user(address): 0x5AcaCe) -> None
  [2][CREATE] from=0x450595, to=0x11a0fe, atInversebrahint248() -> 0x608060
  [2][CALL] from=0x450595, to=VTF, updateUserBalance(_user(address): 0x11A0fE) -> None
  [2][CREATE] from=0x450595, to=0x1b190c, atInversebrahint248() -> 0x608060
  [2][CALL] from=0x450595, to=VTF, updateUserBalance(_user(address): 0x1b190c) -> None
  [2][CREATE] from=0x450595, to=0x5bd2d1, atInversebrahint248() -> 0x608060
  [2][CALL] from=0x450595, to=VTF, updateUserBalance(_user(address): 0x5BD2D1) -> None
  [2][CREATE] from=0x450595, to=0xf41874, atInversebrahint248() -> 0x608060
  [2][CALL] from=0x450595, to=VTF, updateUserBalance(_user(address): 0xf41874) -> None
  [2][CREATE] from=0x450595, to=0x455db1, atInversebrahint248() -> 0x608060
  [2][CALL] from=0x450595, to=VTF, updateUserBalance(_user(address): 0x455dB1) -> None
  [2][CREATE] from=0x450595, to=0xc9ddb4, atInversebrahint248() -> 0x608060
  [2][CALL] from=0x450595, to=VTF, updateUserBalance(_user(address): 0xC9ddb4) -> None
  [2][CREATE] from=0x450595, to=0x81758b, atInversebrahint248() -> 0x608060
  [2][CALL] from=0x450595, to=VTF, updateUserBalance(_user(address): 0x81758b) -> None
  [2][CREATE] from=0x450595, to=0xaa9c87, atInversebrahint248() -> 0x608060
  [2][CALL] from=0x450595, to=VTF, updateUserBalance(_user(address): 0xaA9c87) -> None
  [2][CREATE] from=0x450595, to=0x7c3c0b, atInversebrahint248() -> 0x608060
  [2][CALL] from=0x450595, to=VTF, updateUserBalance(_user(address): 0x7c3c0B) -> None
  [2][CREATE] from=0x450595, to=0x562efe, atInversebrahint248() -> 0x608060
  [2][CALL] from=0x450595, to=VTF, updateUserBalance(_user(address): 0x562EFe) -> None
  [2][CREATE] from=0x450595, to=0x81a74e, atInversebrahint248() -> 0x608060
  [2][CALL] from=0x450595, to=VTF, updateUserBalance(_user(address): 0x81a74E) -> None
