[1][CALL] from=0x2131c6, to=0xf2db86, 0x9209ddbd() -> None
  [2][CREATE] from=0xf2db86, to=0x8d879e, atInversebrahint248() -> None
    [3][CALL] from=0x8d879e, to=SheepFarm, register(neighbor(address): 0x14598f) -> None
    [3][CALL] from=0x8d879e, to=SheepFarm, register(neighbor(address): 0x14598f) -> None
    [3][CALL] from=0x8d879e, to=SheepFarm, register(neighbor(address): 0x14598f) -> None
    [3][CALL] from=0x8d879e, to=SheepFarm, register(neighbor(address): 0x14598f) -> None
    [3][CALL] from=0x8d879e, to=SheepFarm, register(neighbor(address): 0x14598f) -> None
    [3][CALL] from=0x8d879e, to=SheepFarm, register(neighbor(address): 0x14598f) -> None
    [3][CALL] from=0x8d879e, to=SheepFarm, register(neighbor(address): 0x14598f) -> None
    [3][CALL] from=0x8d879e, to=SheepFarm, register(neighbor(address): 0x14598f) -> None
    [3][CALL] from=0x8d879e, to=SheepFarm, register(neighbor(address): 0x14598f) -> None
    [3][CALL] from=0x8d879e, to=SheepFarm, register(neighbor(address): 0x14598f) -> None
    [3][CALL] from=0x8d879e, to=SheepFarm, register(neighbor(address): 0x14598f) -> None
    [3][CALL] from=0x8d879e, to=SheepFarm, register(neighbor(address): 0x14598f) -> None
    [3][CALL] from=0x8d879e, to=SheepFarm, register(neighbor(address): 0x14598f) -> None
    [3][CALL] from=0x8d879e, to=SheepFarm, register(neighbor(address): 0x14598f) -> None
    [3][CALL] from=0x8d879e, to=SheepFarm, register(neighbor(address): 0x14598f) -> None
    [3][CALL] from=0x8d879e, to=SheepFarm, register(neighbor(address): 0x14598f) -> None
    [3][CALL] from=0x8d879e, to=SheepFarm, register(neighbor(address): 0x14598f) -> None
    [3][CALL] from=0x8d879e, to=SheepFarm, register(neighbor(address): 0x14598f) -> None
    [3][CALL] from=0x8d879e, to=SheepFarm, register(neighbor(address): 0x14598f) -> None
    [3][CALL] from=0x8d879e, to=SheepFarm, register(neighbor(address): 0x14598f) -> None
    [3][CALL] from=0x8d879e, to=SheepFarm, register(neighbor(address): 0x14598f) -> None
    [3][CALL] from=0x8d879e, to=SheepFarm, register(neighbor(address): 0x14598f) -> None
    [3][CALL] from=0x8d879e, to=SheepFarm, register(neighbor(address): 0x14598f) -> None
    [3][CALL] from=0x8d879e, to=SheepFarm, register(neighbor(address): 0x14598f) -> None
    [3][CALL] from=0x8d879e, to=SheepFarm, register(neighbor(address): 0x14598f) -> None
    [3][CALL] from=0x8d879e, to=SheepFarm, register(neighbor(address): 0x14598f) -> None
    [3][CALL] from=0x8d879e, to=SheepFarm, register(neighbor(address): 0x14598f) -> None
    [3][CALL] from=0x8d879e, to=SheepFarm, register(neighbor(address): 0x14598f) -> None
    [3][CALL] from=0x8d879e, to=SheepFarm, register(neighbor(address): 0x14598f) -> None
    [3][CALL] from=0x8d879e, to=SheepFarm, register(neighbor(address): 0x14598f) -> None
    [3][CALL] from=0x8d879e, to=SheepFarm, register(neighbor(address): 0x14598f) -> None
    [3][CALL] from=0x8d879e, to=SheepFarm, register(neighbor(address): 0x14598f) -> None
    [3][CALL] from=0x8d879e, to=SheepFarm, register(neighbor(address): 0x14598f) -> None
    [3][CALL] from=0x8d879e, to=SheepFarm, register(neighbor(address): 0x14598f) -> None
    [3][CALL] from=0x8d879e, to=SheepFarm, register(neighbor(address): 0x14598f) -> None
    [3][CALL] from=0x8d879e, to=SheepFarm, register(neighbor(address): 0x14598f) -> None
    [3][CALL] from=0x8d879e, to=SheepFarm, register(neighbor(address): 0x14598f) -> None
    [3][CALL] from=0x8d879e, to=SheepFarm, register(neighbor(address): 0x14598f) -> None
    [3][CALL] from=0x8d879e, to=SheepFarm, register(neighbor(address): 0x14598f) -> None
    [3][CALL] from=0x8d879e, to=SheepFarm, register(neighbor(address): 0x14598f) -> None
    [3][CALL] from=0x8d879e, to=SheepFarm, register(neighbor(address): 0x14598f) -> None
    [3][CALL] from=0x8d879e, to=SheepFarm, register(neighbor(address): 0x14598f) -> None
    [3][CALL] from=0x8d879e, to=SheepFarm, register(neighbor(address): 0x14598f) -> None
    [3][CALL] from=0x8d879e, to=SheepFarm, register(neighbor(address): 0x14598f) -> None
    [3][CALL] from=0x8d879e, to=SheepFarm, register(neighbor(address): 0x14598f) -> None
    [3][CALL] from=0x8d879e, to=SheepFarm, register(neighbor(address): 0x14598f) -> None
    [3][CALL] from=0x8d879e, to=SheepFarm, register(neighbor(address): 0x14598f) -> None
    [3][CALL] from=0x8d879e, to=SheepFarm, register(neighbor(address): 0x14598f) -> None
    [3][CALL] from=0x8d879e, to=SheepFarm, register(neighbor(address): 0x14598f) -> None
    [3][CALL] from=0x8d879e, to=SheepFarm, register(neighbor(address): 0x14598f) -> None
    [3][CALL] from=0x8d879e, to=SheepFarm, register(neighbor(address): 0x14598f) -> None
