[1][CALL] from=0x4b5360, to=0xf51e88, getaddress() -> None
  [2][CALL] from=0xf51e88, to=HegicPUT, withdrawWithoutHedgeuint256() -> 0x000000
    [3][CALL] from=HegicPUT, to=WBTC, transferaddress() -> 0x000000
  [2][CALL] from=0xf51e88, to=HegicPUT, withdrawWithoutHedgeuint256() -> 0x000000
    [3][CALL] from=HegicPUT, to=WBTC, transferaddress() -> 0x000000
  [2][CALL] from=0xf51e88, to=HegicPUT, withdrawWithoutHedgeuint256() -> 0x000000
    [3][CALL] from=HegicPUT, to=WBTC, transferaddress() -> 0x000000
  [2][CALL] from=0xf51e88, to=HegicPUT, withdrawWithoutHedgeuint256() -> 0x000000
    [3][CALL] from=HegicPUT, to=WBTC, transferaddress() -> 0x000000
  [2][CALL] from=0xf51e88, to=HegicPUT, withdrawWithoutHedgeuint256() -> 0x000000
    [3][CALL] from=HegicPUT, to=WBTC, transferaddress() -> 0x000000
  [2][CALL] from=0xf51e88, to=HegicPUT, withdrawWithoutHedgeuint256() -> 0x000000
    [3][CALL] from=HegicPUT, to=WBTC, transferaddress() -> 0x000000
  [2][CALL] from=0xf51e88, to=HegicPUT, withdrawWithoutHedgeuint256() -> 0x000000
    [3][CALL] from=HegicPUT, to=WBTC, transferaddress() -> 0x000000
  [2][CALL] from=0xf51e88, to=HegicPUT, withdrawWithoutHedgeuint256() -> 0x000000
    [3][CALL] from=HegicPUT, to=WBTC, transferaddress() -> 0x000000
  [2][CALL] from=0xf51e88, to=HegicPUT, withdrawWithoutHedgeuint256() -> 0x000000
    [3][CALL] from=HegicPUT, to=WBTC, transferaddress() -> 0x000000
  [2][CALL] from=0xf51e88, to=HegicPUT, withdrawWithoutHedgeuint256() -> 0x000000
    [3][CALL] from=HegicPUT, to=WBTC, transferaddress() -> 0x000000
  [2][CALL] from=0xf51e88, to=HegicPUT, withdrawWithoutHedgeuint256() -> 0x000000
    [3][CALL] from=HegicPUT, to=WBTC, transferaddress() -> 0x000000
  [2][CALL] from=0xf51e88, to=HegicPUT, withdrawWithoutHedgeuint256() -> 0x000000
    [3][CALL] from=HegicPUT, to=WBTC, transferaddress() -> 0x000000
  [2][CALL] from=0xf51e88, to=HegicPUT, withdrawWithoutHedgeuint256() -> 0x000000
    [3][CALL] from=HegicPUT, to=WBTC, transferaddress() -> 0x000000
  [2][CALL] from=0xf51e88, to=HegicPUT, withdrawWithoutHedgeuint256() -> 0x000000
    [3][CALL] from=HegicPUT, to=WBTC, transferaddress() -> 0x000000
  [2][CALL] from=0xf51e88, to=HegicPUT, withdrawWithoutHedgeuint256() -> 0x000000
    [3][CALL] from=HegicPUT, to=WBTC, transferaddress() -> 0x000000
  [2][CALL] from=0xf51e88, to=HegicPUT, withdrawWithoutHedgeuint256() -> 0x000000
    [3][CALL] from=HegicPUT, to=WBTC, transferaddress() -> 0x000000
