[1][CALL] from=0xdc8076, to=0xfa3925, claimuint256() -> None
  [2][DELEGATECALL] from=0xfa3925, to=0xb575b2, claimuint256() -> None
    [3][CALL] from=0xfa3925, to=sorraStaking, withdrawuint256() -> None
      [4][CALL] from=sorraStaking, to=SorraV2, transferaddress() -> 0x000000
    [3][CALL] from=0xfa3925, to=sorraStaking, withdrawuint256() -> None
      [4][CALL] from=sorraStaking, to=SorraV2, transferaddress() -> 0x000000
    [3][CALL] from=0xfa3925, to=sorraStaking, withdrawuint256() -> None
      [4][CALL] from=sorraStaking, to=SorraV2, transferaddress() -> 0x000000
    [3][CALL] from=0xfa3925, to=sorraStaking, withdrawuint256() -> None
      [4][CALL] from=sorraStaking, to=SorraV2, transferaddress() -> 0x000000
    [3][CALL] from=0xfa3925, to=sorraStaking, withdrawuint256() -> None
      [4][CALL] from=sorraStaking, to=SorraV2, transferaddress() -> 0x000000
    [3][CALL] from=0xfa3925, to=sorraStaking, withdrawuint256() -> None
      [4][CALL] from=sorraStaking, to=SorraV2, transferaddress() -> 0x000000
    [3][CALL] from=0xfa3925, to=sorraStaking, withdrawuint256() -> None
      [4][CALL] from=sorraStaking, to=SorraV2, transferaddress() -> 0x000000
    [3][CALL] from=0xfa3925, to=sorraStaking, withdrawuint256() -> None
      [4][CALL] from=sorraStaking, to=SorraV2, transferaddress() -> 0x000000
    [3][CALL] from=0xfa3925, to=sorraStaking, withdrawuint256() -> None
      [4][CALL] from=sorraStaking, to=SorraV2, transferaddress() -> 0x000000
    [3][CALL] from=0xfa3925, to=sorraStaking, withdrawuint256() -> None
      [4][CALL] from=sorraStaking, to=SorraV2, transferaddress() -> 0x000000
    [3][CALL] from=0xfa3925, to=sorraStaking, withdrawuint256() -> None
      [4][CALL] from=sorraStaking, to=SorraV2, transferaddress() -> 0x000000
    [3][CALL] from=0xfa3925, to=sorraStaking, withdrawuint256() -> None
      [4][CALL] from=sorraStaking, to=SorraV2, transferaddress() -> 0x000000
    [3][CALL] from=0xfa3925, to=sorraStaking, withdrawuint256() -> None
      [4][CALL] from=sorraStaking, to=SorraV2, transferaddress() -> 0x000000
