[1][CREATE] from=0x6d9f6e, to=0xf90da5, atInversebrahint248() -> 0x608060
  [2][CREATE] from=0xf90da5, to=0x151aa6, atInversebrahint248() -> 0x608060
  [2][CALL] from=0xf90da5, to=0x151aa6, 0x83f39e1d() -> None
    [3][CALL] from=0x151aa6, to=FiatTokenProxy, approveaddress() -> 0x000000
      [4][DELEGATECALL] from=FiatTokenProxy, to=FiatTokenV2_2, approveaddress() -> 0x000000
    [3][CALL] from=0x151aa6, to=Morpho, flashLoanaddress() -> None
      [4][CALL] from=Morpho, to=FiatTokenProxy, transferaddress() -> 0x000000
        [5][DELEGATECALL] from=FiatTokenProxy, to=FiatTokenV2_2, transferaddress() -> 0x000000
      [4][CALL] from=Morpho, to=0x151aa6, 0x31f57072() -> None
        [5][STATICCALL] from=0x151aa6, to=FiatTokenProxy, balanceOfaddress() -> 0x000000
          [6][DELEGATECALL] from=FiatTokenProxy, to=FiatTokenV2_2, balanceOfaddress() -> 0x000000
        [5][CALL] from=0x151aa6, to=FiatTokenProxy, approveaddress() -> 0x000000
          [6][DELEGATECALL] from=FiatTokenProxy, to=FiatTokenV2_2, approveaddress() -> 0x000000
        [5][CALL] from=0x151aa6, to=Vyper_contract, exchangeint128() -> 0x000000
          [6][DELEGATECALL] from=Vyper_contract, to=Vyper_contract, exchangeint128() -> 0x000000
            [7][CALL] from=Vyper_contract, to=FiatTokenProxy, transferFromaddress() -> 0x000000
              [8][DELEGATECALL] from=FiatTokenProxy, to=FiatTokenV2_2, transferFromaddress() -> 0x000000
            [7][CALL] from=Vyper_contract, to=crvUSD Stablecoin, transferaddress() -> 0x000000
        [5][STATICCALL] from=0x151aa6, to=Vault, controller() -> 0x000000
          [6][DELEGATECALL] from=Vault, to=Vault, controller() -> 0x000000
        [5][CALL] from=0x151aa6, to=crvUSD Stablecoin, transferaddress() -> 0x000000
        [5][CALL] from=0x151aa6, to=crvUSD Stablecoin, approveaddress() -> 0x000000
        [5][CALL] from=0x151aa6, to=Vault, mintuint256() -> 0x000000
          [6][DELEGATECALL] from=Vault, to=Vault, mintuint256() -> 0x000000
            [7][STATICCALL] from=Vault, to=crvUSD Controller, 0xd0c581bf() -> 0x000000
            [7][STATICCALL] from=Vault, to=crvUSD Stablecoin, balanceOfaddress() -> 0x000000
            [7][STATICCALL] from=Vault, to=crvUSD Controller, 0x31dc3ca8() -> 0x000000
              [8][STATICCALL] from=crvUSD Controller, to=LLAMMA - crvUSD AMM, 0x095a0fc6() -> 0x000000
            [7][CALL] from=Vault, to=crvUSD Stablecoin, transferFromaddress() -> 0x000000
            [7][CALL] from=Vault, to=crvUSD Controller, 0x69c6804e() -> None
              [8][CALL] from=crvUSD Controller, to=SemiLog monetary policy, 0xe91f2f4c() -> 0x000000
                [9][STATICCALL] from=SemiLog monetary policy, to=crvUSD Controller, 0x31dc3ca8() -> 0x000000
                  [10][STATICCALL] from=crvUSD Controller, to=LLAMMA - crvUSD AMM, 0x095a0fc6() -> 0x000000
                [9][STATICCALL] from=SemiLog monetary policy, to=crvUSD Stablecoin, balanceOfaddress() -> 0x000000
              [8][CALL] from=crvUSD Controller, to=LLAMMA - crvUSD AMM, set_rateuint256() -> 0x000000
        [5][CALL] from=0x151aa6, to=Vault, approveaddress() -> 0x000000
          [6][DELEGATECALL] from=Vault, to=Vault, approveaddress() -> 0x000000
        [5][CALL] from=0x151aa6, to=ResupplyPair, 0x60c52d05() -> None
